product_id,location_id,period,units_sold,stock_on_hand,revenue
P001,LOC_BRISTOL,2025-03-02,20,106,1799.8
P001,LOC_BRISTOL,2025-03-09,10,30,899.9
P001,LOC_BRISTOL,2025-03-16,14,32,1259.86
P001,LOC_BRISTOL,2025-03-23,26,26,2339.74
P001,LOC_BRISTOL,2025-03-30,10,36,899.9
P002,LOC_MANCHESTER,2025-01-05,110,477,13198.9
P002,LOC_MANCHESTER,2025-01-12,94,208,11279.06
P002,LOC_MANCHESTER,2025-01-19,53,313,6359.47
P002,LOC_MANCHESTER,2025-01-26,34,45,4079.66
P002,LOC_MANCHESTER,2025-02-02,84,283,10079.16
P002,LOC_MANCHESTER,2025-02-09,60,336,7199.4
P002,LOC_MANCHESTER,2025-02-16,74,350,8879.26
P002,LOC_MANCHESTER,2025-02-23,84,349,10079.16
P002,LOC_MANCHESTER,2025-03-02,156,477,18718.44
P002,LOC_MANCHESTER,2025-03-09,51,103,6119.49
P002,LOC_MANCHESTER,2025-03-16,48,136,5759.52
P002,LOC_MANCHESTER,2025-03-23,91,277,10919.09
P002,LOC_MANCHESTER,2025-03-30,137,846,16438.63
P002,LOC_LONDON_OXFORD,2025-01-05,126,144,15118.74
P002,LOC_LONDON_OXFORD,2025-01-12,47,196,5639.53
P002,LOC_LONDON_OXFORD,2025-01-19,111,761,13318.89
P002,LOC_LONDON_OXFORD,2025-01-26,103,375,12358.97
P002,LOC_LONDON_OXFORD,2025-02-02,57,267,6839.43
P002,LOC_LONDON_OXFORD,2025-02-09,126,563,15118.74
P002,LOC_LONDON_OXFORD,2025-02-16,68,262,8159.32
P002,LOC_LONDON_OXFORD,2025-02-23,59,255,7079.41
P002,LOC_LONDON_OXFORD,2025-03-02,84,489,10079.16
P002,LOC_LONDON_OXFORD,2025-03-09,74,333,8879.26
P002,LOC_LONDON_OXFORD,2025-03-16,149,149,17878.51
P002,LOC_LONDON_OXFORD,2025-03-23,98,463,11759.02
P002,LOC_LONDON_OXFORD,2025-03-30,63,384,7559.37
P002,LOC_BIRMINGHAM,2025-01-05,282,1127,33837.18
P002,LOC_BIRMINGHAM,2025-01-12,254,1066,30477.46
P002,LOC_BIRMINGHAM,2025-01-19,127,501,15238.73
P002,LOC_BIRMINGHAM,2025-01-26,195,561,23398.05
P002,LOC_BIRMINGHAM,2025-02-02,135,482,16198.65
P002,LOC_BIRMINGHAM,2025-02-09,167,823,20038.33
P002,LOC_BIRMINGHAM,2025-02-16,84,477,10079.16
P002,LOC_BIRMINGHAM,2025-02-23,104,486,12478.96
P002,LOC_BIRMINGHAM,2025-03-02,125,543,14998.75
P002,LOC_BIRMINGHAM,2025-03-09,180,891,21598.2
P002,LOC_BIRMINGHAM,2025-03-16,143,506,17158.57
P002,LOC_BIRMINGHAM,2025-03-23,197,1228,23638.03
P002,LOC_BIRMINGHAM,2025-03-30,161,617,19318.39
P002,LOC_EDINBURGH,2025-01-05,139,581,16678.61
P002,LOC_EDINBURGH,2025-01-12,186,727,22318.14
P002,LOC_EDINBURGH,2025-01-19,82,407,9839.18
P002,LOC_EDINBURGH,2025-01-26,74,371,8879.26
P002,LOC_EDINBURGH,2025-02-02,151,690,18118.49
P002,LOC_EDINBURGH,2025-02-09,123,398,14758.77
P002,LOC_EDINBURGH,2025-02-16,110,269,13198.9
P002,LOC_EDINBURGH,2025-02-23,64,222,7679.36
P002,LOC_EDINBURGH,2025-03-02,93,416,11159.07
P002,LOC_EDINBURGH,2025-03-09,89,89,10679.11
P002,LOC_EDINBURGH,2025-03-16,72,291,8639.28
P002,LOC_EDINBURGH,2025-03-23,156,904,18718.44
P002,LOC_EDINBURGH,2025-03-30,86,407,10319.14
P002,LOC_BRISTOL,2025-01-05,110,604,13198.9
P002,LOC_BRISTOL,2025-01-12,139,698,16678.61
P002,LOC_BRISTOL,2025-01-19,125,632,14998.75
P002,LOC_BRISTOL,2025-01-26,112,301,13438.88
P002,LOC_BRISTOL,2025-02-02,197,503,23638.03
P002,LOC_BRISTOL,2025-02-09,125,461,14998.75
P002,LOC_BRISTOL,2025-02-16,250,480,29997.5
P002,LOC_BRISTOL,2025-02-23,94,434,11279.06
P002,LOC_BRISTOL,2025-03-02,103,387,12358.97
P002,LOC_BRISTOL,2025-03-09,78,446,9359.22
P002,LOC_BRISTOL,2025-03-16,80,189,9599.2
P002,LOC_BRISTOL,2025-03-23,217,842,26037.83
P002,LOC_BRISTOL,2025-03-30,113,412,13558.87
P003,LOC_MANCHESTER,2025-01-05,12,52,780.0
P003,LOC_MANCHESTER,2025-01-12,17,51,1105.0
P003,LOC_MANCHESTER,2025-01-19,17,63,1105.0
P003,LOC_MANCHESTER,2025-01-26,14,58,910.0
P003,LOC_MANCHESTER,2025-02-02,8,10,520.0
P003,LOC_MANCHESTER,2025-02-09,6,17,390.0
P003,LOC_MANCHESTER,2025-02-16,13,55,845.0
P003,LOC_MANCHESTER,2025-02-23,21,136,1365.0
P003,LOC_MANCHESTER,2025-03-02,16,96,1040.0
P003,LOC_MANCHESTER,2025-03-09,12,59,780.0
P003,LOC_MANCHESTER,2025-03-16,9,46,585.0
P003,LOC_MANCHESTER,2025-03-23,11,68,715.0
P003,LOC_MANCHESTER,2025-03-30,12,42,780.0
P003,LOC_LONDON_OXFORD,2025-01-05,130,540,8450.0
P003,LOC_LONDON_OXFORD,2025-01-12,248,856,16120.0
P003,LOC_LONDON_OXFORD,2025-01-19,109,510,7085.0
P003,LOC_LONDON_OXFORD,2025-01-26,57,207,3705.0
P003,LOC_LONDON_OXFORD,2025-02-02,70,469,4550.0
P003,LOC_LONDON_OXFORD,2025-02-09,88,88,5720.0
P003,LOC_LONDON_OXFORD,2025-02-16,173,512,11245.0
P003,LOC_LONDON_OXFORD,2025-02-23,79,471,5135.0
P003,LOC_LONDON_OXFORD,2025-03-02,107,413,6955.0
P003,LOC_LONDON_OXFORD,2025-03-09,251,251,16315.0
P003,LOC_LONDON_OXFORD,2025-03-16,87,349,5655.0
P003,LOC_LONDON_OXFORD,2025-03-23,97,331,6305.0
P003,LOC_LONDON_OXFORD,2025-03-30,119,509,7735.0
P003,LOC_BIRMINGHAM,2025-01-05,342,1078,22230.0
P003,LOC_BIRMINGHAM,2025-01-12,209,836,13585.0
P003,LOC_BIRMINGHAM,2025-01-19,122,225,7930.0
P003,LOC_BIRMINGHAM,2025-01-26,141,509,9165.0
P003,LOC_BIRMINGHAM,2025-02-02,200,540,13000.0
P003,LOC_BIRMINGHAM,2025-02-09,414,1399,26910.0
P003,LOC_BIRMINGHAM,2025-02-16,84,91,5460.0
P003,LOC_BIRMINGHAM,2025-02-23,122,472,7930.0
P003,LOC_BIRMINGHAM,2025-03-02,231,975,15015.0
P003,LOC_BIRMINGHAM,2025-03-09,183,366,11895.0
P003,LOC_BIRMINGHAM,2025-03-16,183,906,11895.0
P003,LOC_BIRMINGHAM,2025-03-23,70,246,4550.0
P003,LOC_BIRMINGHAM,2025-03-30,284,1075,18460.0
P003,LOC_EDINBURGH,2025-01-05,205,740,13325.0
P003,LOC_EDINBURGH,2025-01-12,140,975,9100.0
P003,LOC_EDINBURGH,2025-01-19,90,563,5850.0
P003,LOC_EDINBURGH,2025-01-26,67,218,4355.0
P003,LOC_EDINBURGH,2025-02-02,111,334,7215.0
P003,LOC_EDINBURGH,2025-02-09,113,301,7345.0
P003,LOC_EDINBURGH,2025-02-16,155,827,10075.0
P003,LOC_EDINBURGH,2025-02-23,113,329,7345.0
P003,LOC_EDINBURGH,2025-03-02,66,81,4290.0
P003,LOC_EDINBURGH,2025-03-09,132,792,8580.0
P003,LOC_EDINBURGH,2025-03-16,280,1293,18200.0
P003,LOC_EDINBURGH,2025-03-23,196,939,12740.0
P003,LOC_EDINBURGH,2025-03-30,119,576,7735.0
P003,LOC_BRISTOL,2025-01-05,213,491,13845.0
P003,LOC_BRISTOL,2025-01-12,193,867,12545.0
P003,LOC_BRISTOL,2025-01-19,206,1001,13390.0
P003,LOC_BRISTOL,2025-01-26,182,1079,11830.0
P003,LOC_BRISTOL,2025-02-02,293,937,19045.0
P003,LOC_BRISTOL,2025-02-09,179,604,11635.0
P003,LOC_BRISTOL,2025-02-16,259,427,16835.0
P003,LOC_BRISTOL,2025-02-23,248,693,16120.0
P003,LOC_BRISTOL,2025-03-02,179,545,11635.0
P003,LOC_BRISTOL,2025-03-09,158,1047,10270.0
P003,LOC_BRISTOL,2025-03-16,157,651,10205.0
P003,LOC_BRISTOL,2025-03-23,120,470,7800.0
P003,LOC_BRISTOL,2025-03-30,113,565,7345.0
P004,LOC_MANCHESTER,2025-01-05,64,406,6080.0
P004,LOC_MANCHESTER,2025-01-12,66,301,6270.0
P004,LOC_MANCHESTER,2025-01-19,55,169,5225.0
P004,LOC_MANCHESTER,2025-01-26,65,238,6175.0
P004,LOC_MANCHESTER,2025-02-02,28,28,2660.0
P004,LOC_MANCHESTER,2025-02-09,50,219,4750.0
P004,LOC_MANCHESTER,2025-02-16,42,298,3990.0
P004,LOC_MANCHESTER,2025-02-23,56,186,5320.0
P004,LOC_MANCHESTER,2025-03-02,30,132,2850.0
P004,LOC_MANCHESTER,2025-03-09,45,134,4275.0
P004,LOC_MANCHESTER,2025-03-16,26,106,2470.0
P004,LOC_MANCHESTER,2025-03-23,15,75,1425.0
P004,LOC_MANCHESTER,2025-03-30,46,46,4370.0
P004,LOC_LONDON_OXFORD,2025-01-05,77,77,7315.0
P004,LOC_LONDON_OXFORD,2025-01-12,34,178,3230.0
P004,LOC_LONDON_OXFORD,2025-01-19,78,379,7410.0
P004,LOC_LONDON_OXFORD,2025-01-26,69,315,6555.0
P004,LOC_LONDON_OXFORD,2025-02-02,66,187,6270.0
P004,LOC_LONDON_OXFORD,2025-02-09,61,97,5795.0
P004,LOC_LONDON_OXFORD,2025-02-16,35,155,3325.0
P004,LOC_LONDON_OXFORD,2025-02-23,36,185,3420.0
P004,LOC_LONDON_OXFORD,2025-03-02,32,171,3040.0
P004,LOC_LONDON_OXFORD,2025-03-09,53,363,5035.0
P004,LOC_LONDON_OXFORD,2025-03-16,35,287,3325.0
P004,LOC_LONDON_OXFORD,2025-03-23,48,223,4560.0
P004,LOC_LONDON_OXFORD,2025-03-30,24,56,2280.0
P004,LOC_BIRMINGHAM,2025-01-05,128,369,12160.0
P004,LOC_BIRMINGHAM,2025-01-12,63,227,5985.0
P004,LOC_BIRMINGHAM,2025-01-19,78,353,7410.0
P004,LOC_BIRMINGHAM,2025-01-26,121,414,11495.0
P004,LOC_BIRMINGHAM,2025-02-02,103,372,9785.0
P004,LOC_BIRMINGHAM,2025-02-09,94,128,8930.0
P004,LOC_BIRMINGHAM,2025-02-16,59,270,5605.0
P004,LOC_BIRMINGHAM,2025-02-23,158,929,15010.0
P004,LOC_BIRMINGHAM,2025-03-02,60,316,5700.0
P004,LOC_BIRMINGHAM,2025-03-09,65,257,6175.0
P004,LOC_BIRMINGHAM,2025-03-16,120,512,11400.0
P004,LOC_BIRMINGHAM,2025-03-23,155,907,14725.0
P004,LOC_BIRMINGHAM,2025-03-30,73,273,6935.0
P004,LOC_EDINBURGH,2025-01-05,56,331,5320.0
P004,LOC_EDINBURGH,2025-01-12,40,103,3800.0
P004,LOC_EDINBURGH,2025-01-19,125,397,11875.0
P004,LOC_EDINBURGH,2025-01-26,22,153,2090.0
P004,LOC_EDINBURGH,2025-02-02,43,210,4085.0
P004,LOC_EDINBURGH,2025-02-09,122,428,11590.0
P004,LOC_EDINBURGH,2025-02-16,36,111,3420.0
P004,LOC_EDINBURGH,2025-02-23,72,359,6840.0
P004,LOC_EDINBURGH,2025-03-02,81,272,7695.0
P004,LOC_EDINBURGH,2025-03-09,43,255,4085.0
P004,LOC_EDINBURGH,2025-03-16,42,312,3990.0
P004,LOC_EDINBURGH,2025-03-23,74,299,7030.0
P004,LOC_EDINBURGH,2025-03-30,76,349,7220.0
P004,LOC_BRISTOL,2025-01-05,61,158,5795.0
P004,LOC_BRISTOL,2025-01-12,82,409,7790.0
P004,LOC_BRISTOL,2025-01-19,44,112,4180.0
P004,LOC_BRISTOL,2025-01-26,25,109,2375.0
P004,LOC_BRISTOL,2025-02-02,64,64,6080.0
P004,LOC_BRISTOL,2025-02-09,90,268,8550.0
P004,LOC_BRISTOL,2025-02-16,26,162,2470.0
P004,LOC_BRISTOL,2025-02-23,87,656,8265.0
P004,LOC_BRISTOL,2025-03-02,63,194,5985.0
P004,LOC_BRISTOL,2025-03-09,45,172,4275.0
P004,LOC_BRISTOL,2025-03-16,125,478,11875.0
P004,LOC_BRISTOL,2025-03-23,99,664,9405.0
P004,LOC_BRISTOL,2025-03-30,103,298,9785.0
P005,LOC_MANCHESTER,2025-01-05,48,265,2640.0
P005,LOC_MANCHESTER,2025-01-12,34,63,1870.0
P005,LOC_MANCHESTER,2025-01-19,19,79,1045.0
P005,LOC_MANCHESTER,2025-01-26,35,35,1925.0
P005,LOC_MANCHESTER,2025-02-02,67,482,3685.0
P005,LOC_MANCHESTER,2025-02-09,66,436,3630.0
P005,LOC_MANCHESTER,2025-02-16,45,187,2475.0
P005,LOC_MANCHESTER,2025-02-23,75,207,4125.0
P005,LOC_MANCHESTER,2025-03-02,28,126,1540.0
P005,LOC_MANCHESTER,2025-03-09,32,126,1760.0
P005,LOC_MANCHESTER,2025-03-16,38,131,2090.0
P005,LOC_MANCHESTER,2025-03-23,53,118,2915.0
P005,LOC_MANCHESTER,2025-03-30,46,143,2530.0
P005,LOC_LONDON_OXFORD,2025-01-05,51,229,2805.0
P005,LOC_LONDON_OXFORD,2025-01-12,56,56,3080.0
P005,LOC_LONDON_OXFORD,2025-01-19,98,411,5390.0
P005,LOC_LONDON_OXFORD,2025-01-26,37,199,2035.0
P005,LOC_LONDON_OXFORD,2025-02-02,26,112,1430.0
P005,LOC_LONDON_OXFORD,2025-02-09,99,348,5445.0
P005,LOC_LONDON_OXFORD,2025-02-16,48,48,2640.0
P005,LOC_LONDON_OXFORD,2025-02-23,69,231,3795.0
P005,LOC_LONDON_OXFORD,2025-03-02,65,243,3575.0
P005,LOC_LONDON_OXFORD,2025-03-09,59,286,3245.0
P005,LOC_LONDON_OXFORD,2025-03-16,69,153,3795.0
P005,LOC_LONDON_OXFORD,2025-03-23,24,124,1320.0
P005,LOC_LONDON_OXFORD,2025-03-30,54,341,2970.0
P005,LOC_BIRMINGHAM,2025-01-05,134,584,7370.0
P005,LOC_BIRMINGHAM,2025-01-12,82,298,4510.0
P005,LOC_BIRMINGHAM,2025-01-19,54,261,2970.0
P005,LOC_BIRMINGHAM,2025-01-26,32,91,1760.0
P005,LOC_BIRMINGHAM,2025-02-02,105,200,5775.0
P005,LOC_BIRMINGHAM,2025-02-09,77,398,4235.0
P005,LOC_BIRMINGHAM,2025-02-16,101,343,5555.0
P005,LOC_BIRMINGHAM,2025-02-23,40,88,2200.0
P005,LOC_BIRMINGHAM,2025-03-02,49,108,2695.0
P005,LOC_BIRMINGHAM,2025-03-09,72,113,3960.0
P005,LOC_BIRMINGHAM,2025-03-16,56,253,3080.0
P005,LOC_BIRMINGHAM,2025-03-23,44,90,2420.0
P005,LOC_BIRMINGHAM,2025-03-30,50,50,2750.0
P005,LOC_EDINBURGH,2025-01-05,44,165,2420.0
P005,LOC_EDINBURGH,2025-01-12,67,255,3685.0
P005,LOC_EDINBURGH,2025-01-19,32,175,1760.0
P005,LOC_EDINBURGH,2025-01-26,38,70,2090.0
P005,LOC_EDINBURGH,2025-02-02,81,233,4455.0
P005,LOC_EDINBURGH,2025-02-09,103,462,5665.0
P005,LOC_EDINBURGH,2025-02-16,125,297,6875.0
P005,LOC_EDINBURGH,2025-02-23,101,598,5555.0
P005,LOC_EDINBURGH,2025-03-02,40,244,2200.0
P005,LOC_EDINBURGH,2025-03-09,52,190,2860.0
P005,LOC_EDINBURGH,2025-03-16,87,314,4785.0
P005,LOC_EDINBURGH,2025-03-23,48,141,2640.0
P005,LOC_EDINBURGH,2025-03-30,98,127,5390.0
P005,LOC_BRISTOL,2025-01-05,51,249,2805.0
P005,LOC_BRISTOL,2025-01-12,95,549,5225.0
P005,LOC_BRISTOL,2025-01-19,128,128,7040.0
P005,LOC_BRISTOL,2025-01-26,56,316,3080.0
P005,LOC_BRISTOL,2025-02-02,44,185,2420.0
P005,LOC_BRISTOL,2025-02-09,47,266,2585.0
P005,LOC_BRISTOL,2025-02-16,107,429,5885.0
P005,LOC_BRISTOL,2025-02-23,45,214,2475.0
P005,LOC_BRISTOL,2025-03-02,77,384,4235.0
P005,LOC_BRISTOL,2025-03-09,52,198,2860.0
P005,LOC_BRISTOL,2025-03-16,72,211,3960.0
P005,LOC_BRISTOL,2025-03-23,131,630,7205.0
P005,LOC_BRISTOL,2025-03-30,78,125,4290.0
P006,LOC_MANCHESTER,2025-01-05,70,360,10150.0
P006,LOC_MANCHESTER,2025-01-12,219,512,31755.0
P006,LOC_MANCHESTER,2025-01-19,159,922,23055.0
P006,LOC_MANCHESTER,2025-01-26,60,240,8700.0
P006,LOC_MANCHESTER,2025-02-02,62,239,8990.0
P006,LOC_MANCHESTER,2025-02-09,148,692,21460.0
P006,LOC_MANCHESTER,2025-02-16,73,402,10585.0
P006,LOC_MANCHESTER,2025-02-23,91,325,13195.0
P006,LOC_MANCHESTER,2025-03-02,51,161,7395.0
P006,LOC_MANCHESTER,2025-03-09,80,398,11600.0
P006,LOC_MANCHESTER,2025-03-16,140,530,20300.0
P006,LOC_MANCHESTER,2025-03-23,121,195,17545.0
P006,LOC_MANCHESTER,2025-03-30,114,239,16530.0
P006,LOC_LONDON_OXFORD,2025-01-05,91,692,13195.0
P006,LOC_LONDON_OXFORD,2025-01-12,77,175,11165.0
P006,LOC_LONDON_OXFORD,2025-01-19,126,126,18270.0
P006,LOC_LONDON_OXFORD,2025-01-26,153,507,22185.0
P006,LOC_LONDON_OXFORD,2025-02-02,144,540,20880.0
P006,LOC_LONDON_OXFORD,2025-02-09,56,279,8120.0
P006,LOC_LONDON_OXFORD,2025-02-16,48,201,6960.0
P006,LOC_LONDON_OXFORD,2025-02-23,124,609,17980.0
P006,LOC_LONDON_OXFORD,2025-03-02,90,168,13050.0
P006,LOC_LONDON_OXFORD,2025-03-09,85,485,12325.0
P006,LOC_LONDON_OXFORD,2025-03-16,48,152,6960.0
P006,LOC_LONDON_OXFORD,2025-03-23,129,498,18705.0
P006,LOC_LONDON_OXFORD,2025-03-30,108,195,15660.0
P006,LOC_BIRMINGHAM,2025-01-05,179,345,25955.0
P006,LOC_BIRMINGHAM,2025-01-12,82,341,11890.0
P006,LOC_BIRMINGHAM,2025-01-19,138,657,20010.0
P006,LOC_BIRMINGHAM,2025-01-26,149,421,21605.0
P006,LOC_BIRMINGHAM,2025-02-02,96,312,13920.0
P006,LOC_BIRMINGHAM,2025-02-09,89,272,12905.0
P006,LOC_BIRMINGHAM,2025-02-16,105,595,15225.0
P006,LOC_BIRMINGHAM,2025-02-23,232,1721,33640.0
P006,LOC_BIRMINGHAM,2025-03-02,176,391,25520.0
P006,LOC_BIRMINGHAM,2025-03-09,152,364,22040.0
P006,LOC_BIRMINGHAM,2025-03-16,140,302,20300.0
P006,LOC_BIRMINGHAM,2025-03-23,85,703,12325.0
P006,LOC_BIRMINGHAM,2025-03-30,104,344,15080.0
P006,LOC_EDINBURGH,2025-01-05,103,679,14935.0
P006,LOC_EDINBURGH,2025-01-12,145,284,21025.0
P006,LOC_EDINBURGH,2025-01-19,89,554,12905.0
P006,LOC_EDINBURGH,2025-01-26,70,70,10150.0
P006,LOC_EDINBURGH,2025-02-02,202,1177,29290.0
P006,LOC_EDINBURGH,2025-02-09,106,472,15370.0
P006,LOC_EDINBURGH,2025-02-16,50,199,7250.0
P006,LOC_EDINBURGH,2025-02-23,104,123,15080.0
P006,LOC_EDINBURGH,2025-03-02,59,222,8555.0
P006,LOC_EDINBURGH,2025-03-09,155,610,22475.0
P006,LOC_EDINBURGH,2025-03-16,92,310,13340.0
P006,LOC_EDINBURGH,2025-03-23,79,373,11455.0
P006,LOC_EDINBURGH,2025-03-30,122,665,17690.0
P006,LOC_BRISTOL,2025-01-05,102,450,14790.0
P006,LOC_BRISTOL,2025-01-12,106,349,15370.0
P006,LOC_BRISTOL,2025-01-19,249,1177,36105.0
P006,LOC_BRISTOL,2025-01-26,72,372,10440.0
P006,LOC_BRISTOL,2025-02-02,110,293,15950.0
P006,LOC_BRISTOL,2025-02-09,132,839,19140.0
P006,LOC_BRISTOL,2025-02-16,190,974,27550.0
P006,LOC_BRISTOL,2025-02-23,75,347,10875.0
P006,LOC_BRISTOL,2025-03-02,147,636,21315.0
P006,LOC_BRISTOL,2025-03-09,168,443,24360.0
P006,LOC_BRISTOL,2025-03-16,113,602,16385.0
P006,LOC_BRISTOL,2025-03-23,123,123,17835.0
P006,LOC_BRISTOL,2025-03-30,122,416,17690.0
P007,LOC_MANCHESTER,2025-01-05,8,35,1080.0
P007,LOC_MANCHESTER,2025-01-12,11,52,1485.0
P007,LOC_MANCHESTER,2025-01-19,13,74,1755.0
P007,LOC_MANCHESTER,2025-01-26,5,26,675.0
P007,LOC_MANCHESTER,2025-02-02,16,90,2160.0
P007,LOC_MANCHESTER,2025-02-09,18,65,2430.0
P007,LOC_MANCHESTER,2025-02-16,16,70,2160.0
P007,LOC_MANCHESTER,2025-02-23,7,20,945.0
P007,LOC_MANCHESTER,2025-03-02,10,10,1350.0
P007,LOC_MANCHESTER,2025-03-09,15,94,2025.0
P007,LOC_MANCHESTER,2025-03-16,10,64,1350.0
P007,LOC_MANCHESTER,2025-03-23,15,15,2025.0
P007,LOC_MANCHESTER,2025-03-30,10,43,1350.0
P007,LOC_LONDON_OXFORD,2025-01-05,19,107,2565.0
P007,LOC_LONDON_OXFORD,2025-01-12,9,9,1215.0
P007,LOC_LONDON_OXFORD,2025-01-19,6,6,810.0
P007,LOC_LONDON_OXFORD,2025-01-26,10,21,1350.0
P007,LOC_LONDON_OXFORD,2025-02-02,24,118,3240.0
P007,LOC_LONDON_OXFORD,2025-02-09,8,15,1080.0
P007,LOC_LONDON_OXFORD,2025-02-16,7,22,945.0
P007,LOC_LONDON_OXFORD,2025-02-23,14,67,1890.0
P007,LOC_LONDON_OXFORD,2025-03-02,1,8,135.0
P007,LOC_LONDON_OXFORD,2025-03-09,12,68,1620.0
P007,LOC_LONDON_OXFORD,2025-03-16,5,9,675.0
P007,LOC_LONDON_OXFORD,2025-03-23,8,47,1080.0
P007,LOC_LONDON_OXFORD,2025-03-30,9,26,1215.0
P007,LOC_BIRMINGHAM,2025-01-05,30,154,4050.0
P007,LOC_BIRMINGHAM,2025-01-12,13,33,1755.0
P007,LOC_BIRMINGHAM,2025-01-19,16,105,2160.0
P007,LOC_BIRMINGHAM,2025-01-26,12,34,1620.0
P007,LOC_BIRMINGHAM,2025-02-02,15,62,2025.0
P007,LOC_BIRMINGHAM,2025-02-09,10,33,1350.0
P007,LOC_BIRMINGHAM,2025-02-16,9,21,1215.0
P007,LOC_BIRMINGHAM,2025-02-23,17,69,2295.0
P007,LOC_BIRMINGHAM,2025-03-02,8,22,1080.0
P007,LOC_BIRMINGHAM,2025-03-09,15,82,2025.0
P007,LOC_BIRMINGHAM,2025-03-16,27,83,3645.0
P007,LOC_BIRMINGHAM,2025-03-23,23,82,3105.0
P007,LOC_BIRMINGHAM,2025-03-30,10,48,1350.0
P007,LOC_EDINBURGH,2025-01-05,12,39,1620.0
P007,LOC_EDINBURGH,2025-01-12,13,45,1755.0
P007,LOC_EDINBURGH,2025-01-19,12,21,1620.0
P007,LOC_EDINBURGH,2025-01-26,9,39,1215.0
P007,LOC_EDINBURGH,2025-02-02,13,55,1755.0
P007,LOC_EDINBURGH,2025-02-09,21,75,2835.0
P007,LOC_EDINBURGH,2025-02-16,16,69,2160.0
P007,LOC_EDINBURGH,2025-02-23,10,16,1350.0
P007,LOC_EDINBURGH,2025-03-02,23,100,3105.0
